,freq,siec,plant_tec,unit,geo,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
32,A,R5100,CAP_NET_ELC,MW,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,25.0,25.0,33.0,40.0,42.0,53.0,175.0,455.0,582.0,629.0,737.0,727.0,708.769,735.159,731.78,734.201,803.185,894.193
33,A,R5100,CAP_NET_ELC,MW,PT,192.0,192.0,212.0,207.0,203.0,205.0,205.0,212.0,211.0,233.0,219.0,214.0,233.0,224.0,224.0,273.0,279.0,290.0,293.0,342.0,482.0,478.0,479.0,458.0,456.0,471.0,477.0,471.211,535.932,589.571,602.968,602.968,592.903
34,A,R5100,CAP_NET_ELC,MW,RO,0.0,0.0,196.0,329.0,305.0,304.0,309.0,303.0,0.0,0.0,251.0,151.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,19.0,26.0,30.0,35.0,79.0,104.0,107.0,118.883,119.278,118.771,135.832,108.771,161.448
35,A,R5100,CAP_NET_ELC,MW,RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,2.4,2.4
36,A,R5100,CAP_NET_ELC,MW,SE,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1437.0,1331.0,1331.0,1490.0,1490.0,1778.0,1670.0,1670.0,1670.0,2526.0,3202.0,2570.0,2761.0,3142.0,3178.0,3397.0,3522.0,3120.0,3729.0,3700.0,3769.0,3706.0,3918.0,3834.0,2942.0,3093.0,3274.0
37,A,R5100,CAP_NET_ELC,MW,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,13.0,13.0,13.0,14.0,14.0,48.0,38.0,33.0,33.0,30.0,30.0,30.0,30.0,30.0,33.0,32.0,34.0,35.0,36.0,36.0
38,A,R5100,CAP_NET_ELC,MW,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,44.0,44.0,44.0,44.0,108.0,134.0,147.0,160.0,169.0,171.0,169.0,176.0,153.0,145.0,150.0,149.0,148.0,138.0,137.0,163.0,180.0
39,A,R5100,CAP_NET_ELC,MW,TR,0.0,11.0,11.0,14.0,13.0,14.0,14.0,14.0,21.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,69.0,47.0,47.0,10.0,10.0,10.0,10.0,12.0,55.0,83.0,128.95,214.22,331.633,490.958,616.168
40,A,R5100,CAP_NET_ELC,MW,UA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,96.0,59.0,74.0,99.9,,
41,A,R5100,CAP_NET_ELC,MW,UK,0.0,0.0,13.0,46.0,46.0,46.0,46.0,46.0,84.0,84.0,133.0,133.0,155.0,254.0,301.0,474.0,508.0,526.0,486.0,587.0,709.0,1627.0,1485.0,2104.0,2383.0,2714.585,2962.867,3149.508,4592.592,4672.586,,,
