,freq,unit,sex,age,geo,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
20,A,NR,F,TOTAL,EFTA,4614773.0,4662794.0,4752608.0,4831931.0,4900539.0,4955172.0,4997740.0,5049569.0,5105880.0,5158911.0,5207646.0,5234331.0,5271341.0,5318239.0,5355418.0,5386910.0,5383941.0,5377880.0,5386994.0,5401398.0,5419800.0,5444478.0,5473037.0,5500943.0,5518274.0,5539562.0,5561556.0,5590592.0,5624467.0,5663401.0,5697035.0,5751072.0,5805869.0,5852908.0,5898542.0,5937622.0,5972195.0,5994903.0,6015765.0,6044631.0,6081127.0,6114808.0,6153649.0,6196385.0,6233599.0,6272656.0,6311254.0,6353647.0,6416432.0,6494678.0,6562506.0,6628873.0,6697052.0,6764913.0,6839585.0,6913804.0,6976972.0,7041680.0,7095018.0,7144052.0,7194913.0,7239247.0,7291491.0,7366735.0
21,A,NR,F,TOTAL,EL,4285115.0,4293142.0,4311290.0,4348312.0,4352132.0,4388771.0,4397054.0,4451418.0,4462034.0,4504043.0,4496139.0,4500567.0,4523501.0,4556373.0,4560652.0,4586952.0,4642909.0,4732914.0,4768966.0,4850568.0,4881854.0,4936482.0,4961078.0,4992484.0,5017620.0,5040100.0,5050772.0,5070561.0,5086737.0,5109666.0,5138914.0,5216182.0,5261868.0,5293502.0,5323509.0,5347307.0,5374260.0,5397100.0,5429540.0,5457870.0,5474106.0,5505941.0,5507229.0,5520990.0,5534293.0,5551450.0,5571325.0,5593763.0,5612990.0,5638650.0,5658424.0,5669948.0,5662522.0,5637364.0,5613568.0,5589628.0,5559538.0,5546916.0,5531125.0,5516306.0,5503077.0,5482584.0,5345035.0,5323391.0
22,A,NR,F,TOTAL,ES,15495960.0,15626760.0,15865674.0,15984967.0,16121618.0,16279822.0,16448322.0,16559515.0,16848661.0,17029108.0,17173310.0,17398898.0,17580396.0,17772628.0,17957231.0,18150004.0,18333864.0,18521877.0,18700859.0,18868438.0,19023427.0,19167940.0,19290450.0,19394758.0,19477810.0,19558571.0,19625071.0,19683096.0,19735868.0,19778621.0,19813442.0,19838598.0,19925307.0,20032645.0,20130190.0,20221727.0,20307916.0,20391551.0,20478884.0,20559311.0,20643843.0,20741653.0,20919754.0,21285371.0,21622874.0,21961051.0,22290653.0,22665690.0,23077456.0,23358739.0,23504347.0,23617694.0,23719207.0,23710130.0,23634738.0,23623019.0,23632635.0,23693426.0,23776565.0,23927801.0,24133301.0,24171413.0,24195741.0,24519768.0
23,A,NR,F,TOTAL,EU27_2007,,,,,,,,,,,,,,,,,,,,,235016192.0,,,,,238396031.0,,,,,241588889.0,242378341.0,243003650.0,243774033.0,244403075.0,244922961.0,245371229.0,245781576.0,246999938.0,247362523.0,247761502.0,248348670.0,248645365.0,249489434.0,250388089.0,251365496.0,252245981.0,253129131.0,254071506.0,254945404.0,255442459.0,255558439.0,256081433.0,256575681.0,257527380.0,258115133.0,258718587.0,259265438.0,259766174.0,260015155.0,,,,
24,A,NR,F,TOTAL,EU27_2020,,,,,,,,,,,,,,,,,,,,,,,,,,211789008.0,,,,,214665583.0,215368606.0,215814405.0,216499243.0,217101646.0,217555427.0,217901614.0,218225897.0,219376548.0,219652905.0,219945375.0,220341633.0,220544882.0,221274193.0,222042482.0,222841116.0,223515552.0,224188035.0,224899187.0,225552613.0,225829427.0,225708502.0,226006146.0,226300167.0,227036625.0,227381928.0,227733475.0,228050037.0,228326248.0,228372753.0,228763757.0,228568107.0,228390297.0,229400684.0
25,A,NR,F,TOTAL,EU28,,,,,,,,,,,,,,,,,,,,,,,,,,240815954.0,,,,,244048867.0,244842972.0,245383074.0,246140392.0,246815861.0,247342883.0,247750778.0,248136119.0,249356447.0,249714173.0,250096159.0,250579979.0,250881832.0,251726433.0,252624973.0,253604076.0,254484535.0,255366480.0,256306485.0,257178433.0,257670655.0,257779544.0,258295108.0,258781338.0,259724441.0,260301222.0,260886459.0,261414441.0,261889868.0,262118829.0,,,,
26,A,NR,F,TOTAL,FI,2288381.0,2303959.0,2317914.0,2332974.0,2348766.0,2357227.0,2362646.0,2373241.0,2387057.0,2393611.0,2384060.0,2378351.0,2391875.0,2404350.0,2416619.0,2428572.0,2438377.0,2444444.0,2451299.0,2457298.0,2464508.0,2472935.0,2484677.0,2498846.0,2512686.0,2524520.0,2532884.0,2539778.0,2545734.0,2552991.0,2561623.0,2572274.0,2585960.0,2597700.0,2607716.0,2617105.0,2625125.0,2631724.0,2638251.0,2643571.0,2648276.0,2651774.0,2657304.0,2661379.0,2666839.0,2674534.0,2683230.0,2693213.0,2703697.0,2714661.0,2726360.0,2736860.0,2748733.0,2760052.0,2770906.0,2779890.0,2785818.0,2790970.0,2793999.0,2794629.0,2797030.0,2799985.0,2805140.0,2810493.0
27,A,NR,F,TOTAL,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29922325.0,30077312.0,30227980.0,30352301.0,30473942.0,30592988.0,30705968.0,30822400.0,30944296.0,31161369.0,31400989.0,31645924.0,31887488.0,32120553.0,32387008.0,32638535.0,32841832.0,33026963.0,33202247.0,33357092.0,33515819.0,33671600.0,33827685.0,34120851.0,34283895.0,34391005.0,34495464.0,34611994.0,34701745.0,34787547.0,34939338.0,35035940.0,35161186.0
28,A,NR,F,TOTAL,FX,23418186.0,23625081.0,23870070.0,24424823.0,24669703.0,24921578.0,25120445.0,25331362.0,25509706.0,25690133.0,25872696.0,26086867.0,26307371.0,26508831.0,26690880.0,26832395.0,26951774.0,27080428.0,27224841.0,27347548.0,27487598.0,27647654.0,27804800.0,27978468.0,28117576.0,28267183.0,28408898.0,28556020.0,28710511.0,28871196.0,29033000.0,29172305.0,29315412.0,29453716.0,29565565.0,29674479.0,29780508.0,29880271.0,29982781.0,30090468.0,30291274.0,30515553.0,30745456.0,30972368.0,31190922.0,31443888.0,31685322.0,31877660.0,32050119.0,32218275.0,32367285.0,32516716.0,32676801.0,32831856.0,,,,,,,,,,
29,A,NR,F,TOTAL,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2342400.0,2325600.0,2309800.0,2290700.0,2276200.0,2277900.0,2317400.0,2315157.0,2303675.0,2304622.0,2327477.0,2341972.0,2353823.0,,2349126.0,1951000.0,1940900.0,1936700.0,1938074.0,1932565.0,1926579.0,1932350.0,1918652.0,1942537.0
