,freq,siec,plant_tec,operator,unit,geo,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
48,A,CF,CAP_NET_ELC,PRR_MAIN,MW,EL,5900.0,6183.0,6222.0,6073.0,6153.0,6172.0,6356.0,6600.0,6902.0,7468.0,7392.0,7427.0,7992.0,8383.0,8602.0,9451.0,9440.0,9505.0,9517.0,9667.0,10075.0,10508.0,10704.0,10702.0,10427.0,10294.0,10231.0,10233.56,10075.52,10075.52,9403.52,9013.52,9819.52
49,A,CF,CAP_NET_ELC,PRR_MAIN,MW,ES,19464.0,19545.0,19630.0,19697.0,19587.55,19922.35,20485.35,21030.55,21075.55,21176.55,21468.55,21771.55,23982.55,24313.5,28914.55,34189.55,37002.55,40708.55,41081.55,40947.205,43597.205,42880.205,42880.205,42880.205,42880.205,43168.905,42242.905,40298.905,39963.399,39718.213,35817.821,33848.721,33549.351
50,A,CF,CAP_NET_ELC,PRR_MAIN,MW,EU27_2020,235565.0,252358.0,255609.0,257903.0,259559.55,267870.35,272918.35,276630.55,280427.55,289130.55,306312.412,308237.633,313232.633,312819.583,320702.492,330497.118,338485.646,344841.034,350068.028,356580.177,369152.056,375575.783,381995.53,372125.652,373023.044,363447.962,354407.277,347474.351,353077.974,345444.635,338502.635,325702.618,323417.48
51,A,CF,CAP_NET_ELC,PRR_MAIN,MW,FI,6460.0,6475.0,6479.0,7062.0,7134.0,7375.0,7388.0,8020.0,8278.0,8335.0,8428.0,8628.0,8618.0,8594.0,8541.0,8406.0,8468.0,8565.0,7693.0,7431.0,7571.0,7699.0,7707.0,8349.0,7735.0,7743.0,6826.0,6958.0,6863.0,6860.0,6433.0,6355.0,6293.0
52,A,CF,CAP_NET_ELC,PRR_MAIN,MW,FR,16162.0,16127.0,16262.0,17233.0,17164.0,17550.0,17684.0,17813.0,17313.0,19696.0,21496.0,22546.0,23268.0,22998.0,22791.0,21835.0,21091.0,20991.0,21215.0,22971.0,24328.0,24795.13,23946.309,22008.376,20458.918,22316.644,21085.922,18232.487,17078.893,16970.409,17153.506,17428.468,17336.635
53,A,CF,CAP_NET_ELC,PRR_MAIN,MW,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591.0,1591.0,1603.0,1603.0,1683.0,1688.0,1694.0,1698.0,1694.0,1696.0,1951.0,1961.0,1984.2,1980.0,1609.0,1380.6,1399.7,1412.1
54,A,CF,CAP_NET_ELC,PRR_MAIN,MW,HU,5165.0,5172.0,5175.0,5155.0,5217.0,5329.0,5462.0,5464.0,5777.0,5762.0,6185.0,6282.0,6403.0,6203.0,6526.0,6519.0,6537.0,6472.0,6453.0,6547.0,6497.0,7097.0,6906.0,5831.0,6007.0,5856.0,5878.0,5867.0,5867.0,5873.0,5871.0,5875.0,5644.0
55,A,CF,CAP_NET_ELC,PRR_MAIN,MW,IE,3225.0,3225.0,3337.0,3323.0,3296.0,3444.0,3573.0,3618.0,3768.0,3658.0,3936.0,3936.0,4629.0,4813.0,4799.5,4937.5,5322.924,5720.522,5490.453,5447.322,6206.432,6209.632,6071.2,6098.2,6105.0,6354.2,6351.2,6395.2,6396.0,6053.0,5949.0,5768.0,5629.0
56,A,CF,CAP_NET_ELC,PRR_MAIN,MW,IT,31595.0,32534.0,35743.0,36620.0,37092.0,38573.0,39865.0,40888.0,41660.0,41917.0,54034.0,54310.0,54433.0,55861.0,54226.0,57409.0,60962.0,64325.0,67154.0,67231.0,68797.0,70501.0,72852.0,70664.0,67419.0,60575.0,57438.0,56426.202,55929.097,56027.873,55114.859,49765.7,50150.355
57,A,CF,CAP_NET_ELC,PRR_MAIN,MW,LI,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,A,CF,CAP_NET_ELC,PRR_MAIN,MW,LT,2426.0,2426.0,2426.0,2426.0,2426.0,2422.0,2422.0,2422.0,2422.0,2422.0,2422.0,2425.0,2425.0,2428.0,2431.0,2433.0,2435.0,2292.0,2330.0,2337.0,2338.0,2339.0,2807.0,2830.0,2530.0,1931.0,1931.0,1577.0,1582.0,1582.0,1628.0,1625.0,1625.0
59,A,CF,CAP_NET_ELC,PRR_MAIN,MW,LU,6.0,6.0,6.0,6.0,6.0,6.0,10.0,10.0,8.0,8.0,46.862,63.083,439.083,439.083,439.442,440.068,439.172,438.962,440.025,440.65,443.419,462.816,462.816,466.871,464.921,451.686,61.301,72.201,75.658,95.42,94.63,89.976,86.917
60,A,CF,CAP_NET_ELC,PRR_MAIN,MW,LV,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,540.0,545.0,546.0,552.0,562.0,566.0,568.0,576.0,563.0,558.0,575.0,921.0,935.0,944.0,984.0,1205.0,1224.0,1234.0,1251.0,1267.972,1239.323,1240.706,1242.552,1239.282,1206.522
61,A,CF,CAP_NET_ELC,PRR_MAIN,MW,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0
62,A,CF,CAP_NET_ELC,PRR_MAIN,MW,MK,,,,,,,,,,,,,,,,,,,,,,1083.0,1104.0,1104.0,1074.0,1078.0,1109.0,1111.0,1111.0,1111.6,1111.6,1321.6,1321.6
63,A,CF,CAP_NET_ELC,PRR_MAIN,MW,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0,571.0,571.0,571.0,571.0,571.0,620.0,620.0,620.0,590.0,475.0,590.0,590.0,590.0,590.0,590.0,498.0
64,A,CF,CAP_NET_ELC,PRR_MAIN,MW,NL,14719.0,14443.0,14348.0,14302.0,15133.0,15695.0,17461.0,17124.0,16562.0,16974.0,17316.0,16963.0,17204.0,16916.0,17194.0,17239.0,17293.0,17143.0,17476.0,18336.0,18993.0,19609.0,21203.0,21390.0,22092.0,20620.823,20444.823,18859.513,18857.663,18166.893,17770.034,17771.767,17755.967
65,A,CF,CAP_NET_ELC,PRR_MAIN,MW,NO,,,,,,,,,,,,,,,,,,,,529.0,982.0,1013.0,1058.0,1047.0,1010.0,1010.0,520.0,535.0,521.0,522.0,402.0,439.0,289.0
66,A,CF,CAP_NET_ELC,PRR_MAIN,MW,PL,23632.0,24048.0,24246.0,24723.0,25344.0,25183.0,25523.0,25810.0,26001.0,26573.0,26485.0,26490.0,26684.0,27265.0,27501.0,27762.0,27821.0,27921.0,28194.0,28329.0,28115.0,28678.0,28600.0,28226.0,27942.0,27934.0,27895.0,31928.875,31219.964,30526.2,33638.226,32937.214,29780.418
67,A,CF,CAP_NET_ELC,PRR_MAIN,MW,PT,3532.0,3559.0,3852.0,3877.0,3889.0,4215.0,4222.0,4229.0,4434.0,5194.0,5164.0,5188.0,5238.0,5532.0,6015.0,5971.0,6370.0,6253.0,6270.0,7167.0,8051.0,8051.0,7357.0,6409.0,6205.0,6205.0,6209.0,6205.39,6208.431,6280.654,6278.362,5098.362,4524.793
68,A,CF,CAP_NET_ELC,PRR_MAIN,MW,RO,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11350.0,11375.0,11239.0,11159.0,10944.0,10962.0,10948.0,10425.0,9064.0,8981.0,8895.0,8887.0,8907.984,8872.571,6670.277,6309.096,4462.615,4838.765
69,A,CF,CAP_NET_ELC,PRR_MAIN,MW,RS,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4171.0,4226.0,4250.0,4223.0,4223.0,4233.0,4343.533,4347.541,4357.525,4546.525
70,A,CF,CAP_NET_ELC,PRR_MAIN,MW,SE,7041.0,7311.0,7168.0,7433.0,6996.0,6589.0,6954.0,6861.0,5638.0,6434.0,6572.0,6582.0,5422.0,6399.0,6440.0,6093.0,6784.0,6676.0,6438.0,7101.0,7598.0,5147.0,7124.0,6582.0,8076.0,7751.0,7495.0,6175.0,6978.0,6950.0,7020.0,6265.0,6268.0
71,A,CF,CAP_NET_ELC,PRR_MAIN,MW,SI,0.0,0.0,1060.0,1010.0,1020.0,1013.0,1013.0,1013.0,1013.0,1013.0,1019.0,1238.0,1257.0,1260.0,1257.0,1279.0,1287.0,1289.0,1234.0,1242.0,1204.0,1213.0,1227.0,1214.0,1192.0,1086.0,1272.0,1285.774,1467.478,1467.816,1470.529,1528.811,1527.271
72,A,CF,CAP_NET_ELC,PRR_MAIN,MW,SK,0.0,0.0,0.0,0.0,0.0,3218.0,3289.0,3704.0,3160.0,3133.0,2394.0,2563.0,2409.0,2467.0,2545.0,2565.0,2471.0,2024.0,1997.0,2246.0,2945.0,2820.0,2833.0,2847.0,2411.0,2119.0,2106.0,2012.0,1882.0,1873.0,1901.0,1658.0,1627.0
73,A,CF,CAP_NET_ELC,PRR_MAIN,MW,TR,,,,,,,,,,,,,,,,,,,,,,31428.0,32266.0,35671.0,38047.0,37999.0,40055.0,42344.946,42261.642,42062.104,42112.684,42457.367,43841.374
74,A,CF,CAP_NET_ELC_C,PRR_AUTO,MW,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
75,A,CF,CAP_NET_ELC_C,PRR_AUTO,MW,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
76,A,CF,CAP_NET_ELC_C,PRR_AUTO,MW,BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
77,A,CF,CAP_NET_ELC_C,PRR_AUTO,MW,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.1
78,A,CF,CAP_NET_ELC_C,PRR_AUTO,MW,BG,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,A,CF,CAP_NET_ELC_C,PRR_AUTO,MW,CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
80,A,CF,CAP_NET_ELC_C,PRR_AUTO,MW,CZ,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,A,CF,CAP_NET_ELC_C,PRR_AUTO,MW,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1162.0
82,A,CF,CAP_NET_ELC_C,PRR_AUTO,MW,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
83,A,CF,CAP_NET_ELC_C,PRR_AUTO,MW,EA20,0.0,1.0,4.0,14.0,3.0,3.0,3.0,15.0,2.0,9.0,32.0,0.0,19.0,5.0,6.0,3.0,117.0,49.728,4.12,9.687,7.916,18.904,4.461,4.455,5.115,2.33,2.514,4.904,6.49,7.459,3.296,3.805,1882.174
84,A,CF,CAP_NET_ELC_C,PRR_AUTO,MW,EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0
85,A,CF,CAP_NET_ELC_C,PRR_AUTO,MW,EL,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,A,CF,CAP_NET_ELC_C,PRR_AUTO,MW,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.087
